"Gu" "Dong" "use0607"
"177" "송파구" "오륜동" 11296
"178" "송파구" "오금동" 8728
"179" "송파구" "송파1동" 8394
"180" "송파구" "가락본동" 11206
"181" "송파구" "가락1동" 10315
"182" "송파구" "가락2동" 9235
"183" "송파구" "문정2동" 25704
"184" "송파구" "잠실6동" 76380
"185" "송파구" "잠실2동" 39639
"186" "송파구" "장지동" 15684
"187" "강동구" "명일1동" 13520
"188" "강동구" "명일2동" 14312
"189" "강동구" "고덕2동" 22107
"190" "강동구" "암사2동" 26763
"191" "강동구" "천호1동" 14790
"192" "강동구" "성내1동" 12382
"193" "강동구" "성내2동" 58906
"194" "강동구" "성내3동" 18017
"195" "강동구" "길동" 9922
